Year i_index j_index k_index x_coord_m y_coord_m z_coord_m Gas_Saturation
2030-Jan-01 14 5 13 18824.9 18469.6 1055.19 -9999
2030-Jan-01 15 5 13 18990.9 18469.6 1056.76 -9999
2030-Jan-01 16 5 13 19157 18469.6 1059.13 -9999
2030-Jan-01 17 5 13 19323.1 18469.6 1059.81 -9999
2030-Jan-01 18 5 13 19489.1 18469.6 1057.73 -9999
2030-Jan-01 19 5 13 19655.2 18469.6 1060.15 1e-06
2030-Jan-01 20 5 13 19821.3 18469.6 1060.7 1e-06
2030-Jan-01 21 5 13 19987.3 18469.6 1054.63 1e-06
2030-Jan-01 22 5 13 20153.4 18469.6 1034.03 1e-06
2030-Jan-01 23 5 13 20319.5 18469.6 1015.68 1e-06
2030-Jan-01 24 5 13 20485.5 18469.6 1024.55 1e-06
2030-Jan-01 25 5 13 20651.6 18469.6 1041.26 1e-06
2030-Jan-01 26 5 13 20817.7 18469.6 1052.89 1e-06
2030-Jan-01 27 5 13 20983.7 18469.6 1059.04 1e-06
2030-Jan-01 28 5 13 21149.8 18469.6 1057.34 1e-06
2030-Jan-01 29 5 13 21315.9 18469.6 1052.08 1e-06
2030-Jan-01 30 5 13 21481.9 18469.6 1050.56 1e-06
2030-Jan-01 31 5 13 21648 18469.6 1051.49 1e-06
2030-Jan-01 32 5 13 21814.1 18469.6 1057.91 1e-06
2030-Jan-01 33 5 13 21980.1 18469.6 1065.19 -9999
2030-Jan-01 34 5 13 22146.2 18469.6 1066.81 -9999
2030-Jan-01 35 5 13 22312.3 18469.6 1068.03 -9999
2030-Jan-01 36 5 13 22478.3 18469.6 1070.83 -9999
2030-Jan-01 37 5 13 22644.4 18469.6 1072.74 -9999
2030-Jan-01 38 5 13 22810.4 18469.6 1074.16 -9999
2030-Jan-01 1 6 13 16666 18626.9 1046.97 -9999
2030-Jan-01 2 6 13 16832.1 18626.9 1049.93 -9999
2030-Jan-01 3 6 13 16998.1 18626.9 1055.25 1e-06
2030-Jan-01 4 6 13 17164.2 18626.9 1056.14 1e-06
2030-Jan-01 5 6 13 17330.3 18626.9 1052.89 1e-06
2030-Jan-01 6 6 13 17496.3 18626.9 1052.12 1e-06
2030-Jan-01 7 6 13 17662.4 18626.9 1055.07 1e-06
2030-Jan-01 8 6 13 17828.5 18626.9 1060.25 1e-06
2030-Jan-01 9 6 13 17994.5 18626.9 1061.04 1e-06
2030-Jan-01 10 6 13 18160.6 18626.9 1057.51 1e-06
2030-Jan-01 11 6 13 18326.7 18626.9 1053.09 1e-06
2030-Jan-01 12 6 13 18492.7 18626.9 1051.04 1e-06
2030-Jan-01 13 6 13 18658.8 18626.9 1052.74 1e-06
2030-Jan-01 14 6 13 18824.9 18626.9 1053.34 1e-06
2030-Jan-01 15 6 13 18990.9 18626.9 1054.6 1e-06
2030-Jan-01 16 6 13 19157 18626.9 1058.04 1e-06
